price,room_number,square_footage,floor,elevator,balcony,registered,distance
112500.0,2.0,64.0,3,0,1,1,0.26
69400.0,1.0,30.0,1,1,0,1,1.685
130000.0,3.5,72.0,5,0,1,1,0.274
68500.0,3.5,74.0,3,0,1,1,1.006
121900.0,1.5,31.0,1,0,0,1,18.744
113000.0,2.0,50.0,2,1,0,1,1.729
350000.0,3.5,102.0,2,0,1,1,0.83
115000.0,3.5,74.0,2,0,1,1,11.456
69900.0,1.5,33.0,0,0,0,1,2.303
115000.0,2.5,64.0,4,0,0,1,2.636
345000.0,4.0,97.0,0,1,1,1,0.563
132000.0,1.5,42.0,2,0,0,1,1.202
145000.0,1.5,38.0,1,1,0,1,1.431
43000.0,1.0,35.0,3,0,0,0,1.161
45000.0,1.5,37.0,0,0,1,1,0.995
69900.0,1.5,34.0,0,0,0,1,2.303
219000.0,3.0,104.0,4,0,1,1,0.982
67300.0,3.0,63.0,1,0,0,0,5.451
82500.0,1.5,44.0,0,1,1,0,2.104
87800.0,1.5,47.0,2,1,1,0,2.104
75000.0,3.0,73.0,-1,1,0,1,0.527
204900.0,3.0,94.0,5,1,1,1,0.325
230000.0,3.0,80.0,3,0,1,1,2.107
225000.0,3.0,75.0,2,1,1,1,1.524
41800.0,1.5,38.0,3,1,1,1,19.902
41800.0,1.5,38.0,2,1,1,1,19.902
240000.0,3.0,80.0,3,0,1,1,2.107
68000.0,1.0,28.0,1,1,1,1,1.634
88000.0,2.0,44.0,2,0,0,1,3.025
208000.0,3.0,96.0,5,1,1,1,0.998
70000.0,2.0,64.0,4,0,1,1,10.65
39000.0,1.5,39.0,1,0,1,1,1.179
77000.0,2.5,55.0,0,0,1,1,4.301
41000.0,2.0,60.0,3,0,1,1,2.132
41500.0,2.5,72.0,0,0,1,0,16.386
40900.0,2.0,45.0,-1,0,0,1,3.131
63480.0,1.5,46.0,0,0,1,1,3.445
58900.0,1.5,39.0,-1,0,0,1,1.124
203750.0,3.0,143.0,2,0,0,1,4.058
240000.0,3.5,77.0,5,1,0,1,1.765
75000.0,3.0,63.0,2,0,0,0,5.451
54000.0,1.0,41.0,0,0,0,1,2.808
56550.0,1.5,39.0,1,1,1,0,3.819
60930.0,1.5,40.0,3,0,1,0,2.37
250000.0,3.0,70.0,0,1,0,1,1.202
199000.0,3.5,84.0,4,0,1,1,1.005
89500.0,3.0,59.0,2,0,1,0,2.37
97500.0,2.0,50.0,3,0,1,1,2.798
43500.0,1.0,30.0,4,1,1,0,3.819
278000.0,4.0,143.0,5,1,1,0,0.0
47500.0,1.0,34.0,0,0,0,1,2.369
99216.0,2.0,41.0,1,1,0,0,0.0
259000.0,4.0,91.0,1,0,1,1,0.776
250000.0,3.0,70.0,0,1,0,1,0.546
191500.0,5.0,96.0,5,1,1,0,0.703
42000.0,4.0,110.0,1,0,1,1,20.057
42500.0,1.5,45.0,-1,0,0,1,3.131
27000.0,3.0,70.0,3,0,0,1,19.981
93000.0,2.5,90.0,2,0,1,1,12.828
185000.0,2.5,88.0,9,1,1,1,1.044
103000.0,1.5,63.0,1,0,0,1,0.249
270000.0,4.0,100.0,2,0,1,1,0.46
45000.0,2.5,53.0,0,0,1,0,1.161
95000.0,2.0,44.0,6,1,0,1,1.209
125000.0,2.0,69.0,1,1,1,1,6.116
183600.0,4.0,99.0,2,0,1,1,8.888
279999.0,4.0,117.0,1,1,1,1,0.831
125450.0,2.0,52.0,3,1,0,0,0.671
179000.0,2.0,55.0,3,1,1,1,1.586
297000.0,4.0,114.0,2,1,1,1,1.507
179000.0,3.0,79.0,1,1,1,1,1.322
105000.0,2.0,66.0,3,1,1,1,1.209
105000.0,2.0,66.0,3,1,1,1,1.209
