id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking
17127,171250,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-patrijarha-pavla-somborski-bulevar/60eee55a51b53e448a63f04f,prodaja,stanovi,"Novi Sad",Telep,4,133,"grejanje na gas",NULL,1,2020,0,1,0,1,1
14556,170900,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/sajmiste/60c093d9311c733060091694,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,92,"centralno grejanje",NULL,1,2020,1,1,0,0,0
11524,169200,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/pregrevica/5f6606c15b707968ab43b613,prodaja,stanovi,Beograd,"Zemun opština",4,73,NULL,NULL,1,2020,1,1,0,0,1
17771,168760,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/5ff975a06ea0205a407d70d2,prodaja,stanovi,"Novi Sad","Stari Grad",4,75,NULL,NULL,1,2020,1,1,0,1,0
11511,165730,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/boze-jankovica/5e2a012e273171168578cf14,prodaja,stanovi,Beograd,"Voždovac opština",2.5,77,"centralno grejanje",NULL,1,2020,1,1,0,0,1
3945,164800,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novo-naselje/617c79c49fcf24349a5dcbc6,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,107,"grejanje na gas",NULL,1,2020,1,1,0,0,0
4254,164000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novo-naselje/5e5431f72731715f3171048d,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,95,"grejanje na gas",NULL,1,2020,0,0,0,0,0
3934,163000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/salajka/5fd00f9ee5adb07b97097ad5,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,113,"grejanje na gas",NULL,1,2020,1,1,0,0,0
11517,162800,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-hrvoja/5faecf9c81b0d47f8843282d,prodaja,stanovi,Beograd,Vračar,3,74,NULL,NULL,1,2020,1,0,0,0,0
11520,162800,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-hrvoja/5faecf9c81b0d47f8843282a,prodaja,stanovi,Beograd,Vračar,3,74,NULL,NULL,1,2020,1,0,0,0,0
436,159300,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/socijalno/5fe9bd3ee8ca3975626b1e97,prodaja,stanovi,"Novi Sad",Rotkvarija,4,79,"centralno grejanje",NULL,1,2020,1,1,0,0,0
1895,154900,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/blok-63/5fabd8369fd527737e77925a,prodaja,stanovi,Beograd,"Bežanijski Blokovi",2.5,71,"centralno grejanje",NULL,1,2020,1,1,0,0,1
9768,154500,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/607564039e8082175845a1ec,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,80,"centralno grejanje",NULL,1,2020,1,1,0,1,0
14276,152400,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/grbavica/5ef303b02731714f702dd6e7,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,79,"grejanje na gas",NULL,1,2020,1,1,0,0,0
14453,151850,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/sajmiste/619cb07bea9f6804f020f8a8,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,76,"centralno grejanje",NULL,1,2020,1,1,0,0,0
14224,149350,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/6155a627b629c75be45b5b56,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,94,NULL,NULL,2,2020,0,1,0,0,1
15571,149302,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/milisava-djurovica/5f75ab3cc441fa5f8a367f46,prodaja,stanovi,Beograd,"Voždovac opština",4,79,"centralno grejanje",NULL,1,2020,1,1,0,0,0
8751,149150,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/podbara/606d855d3483db5326781c4c,prodaja,stanovi,"Novi Sad","Gradske lokacije",3.5,80,"grejanje na gas",NULL,1,2020,1,1,0,0,0
22482,149000,https://www.4zida.rs/prodaja/kuce/beograd/oglas/progar/61386db6e88fca077e47f9ba,prodaja,kuce,Beograd,"Surčin opština",3,146,"etažno grejanje",NULL,2,2020,0,1,1954,0,1
3584,147000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/prizrenska/61b2148ded706751bf517ac8,prodaja,stanovi,Beograd,Zemun,4,113,"etažno grejanje",NULL,1,2020,0,1,0,1,0
4137,146700,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-oslobodjenja/611c3b7484ba6e24ac31bc9f,prodaja,stanovi,"Novi Sad","Gradske lokacije",2.5,57,"centralno grejanje",NULL,1,2020,1,1,0,0,0
3890,145000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/salajka/5eb0346027317157bf0f6687,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,88,"grejanje na gas",NULL,1,2020,1,1,0,0,0
4082,144250,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/spens/60932197ee5fe21f364c2aba,prodaja,stanovi,"Novi Sad","Stari Grad",3,75,"centralno grejanje",NULL,1,2020,1,1,0,0,0
9263,144250,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/nova-detelinara/606e355557c49978d4782aa9,prodaja,stanovi,"Novi Sad",Detelinara,4.5,102,"centralno grejanje",NULL,1,2020,1,0,0,0,0
9275,144250,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/spens/60932154ee5fe21f364c29b2,prodaja,stanovi,"Novi Sad","Stari Grad",3.5,75,"centralno grejanje",NULL,1,2020,1,1,0,0,0
9262,143780,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/salajka/613001e20abae75839404d4f,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,78,"grejanje na gas",NULL,1,2020,1,1,0,0,0
14279,140700,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/grbavica/5ef303b02731714f702dd6f0,prodaja,stanovi,"Novi Sad","Gradske lokacije",4,73,"grejanje na gas",NULL,1,2020,1,1,0,0,0
15588,140000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/stevana-hristica/614da083bdd317763c4acc66,prodaja,stanovi,Beograd,"Palilula opština",6,127,"etažno grejanje",NULL,1,2020,0,1,0,0,1
19461,140000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/stevana-hristica/614da083bdd317763c4acc66,prodaja,stanovi,Beograd,"Palilula opština",6,127,"etažno grejanje",NULL,1,2020,0,1,0,0,1
3877,139900,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-patrijarha-pavla-somborski-bulevar/5fb416195965bd6a9064e00a,prodaja,stanovi,"Novi Sad",Telep,4,97,"centralno grejanje",NULL,1,2020,1,1,0,0,0
3883,139900,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-patrijarha-pavla-somborski-bulevar/5fb416195965bd6a9064e007,prodaja,stanovi,"Novi Sad",Telep,4,97,"centralno grejanje",NULL,1,2020,1,1,0,0,0
18009,139000,https://www.4zida.rs/prodaja/stanovi/zlatibor/oglas/centar/609713e6d8a6150d2012e933,prodaja,stanovi,Zlatibor,"Gradske lokacije",3,77,"grejanje na struju",NULL,1,2020,1,0,0,0,0
15211,138500,https://www.4zida.rs/prodaja/stanovi/pancevo/oglas/centar/619d0c7f31515a549050ac95,prodaja,stanovi,Pančevo,"Gradske lokacije",4,99,"grejanje na gas",NULL,2,2020,1,1,0,1,1
24106,138000,https://www.4zida.rs/prodaja/kuce/ruma/oglas/gradske-lokacije/61c3632c94714f5fb40b1669,prodaja,kuce,Ruma,Ruma,4,192,"grejanje na gas",NULL,1,2020,0,1,5,1,1
3870,137000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/5e67f844273171327200b3c8,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,78,"grejanje na gas",NULL,1,2020,1,1,0,0,0
3873,137000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/6149fa022fb53d44bd357736,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,78,"grejanje na gas",NULL,1,2020,1,1,0,0,0
10507,137000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/koste-jovanovica/61a76cc7acb2021bb810fa96,prodaja,stanovi,Beograd,"Voždovac opština",2,51,"grejanje na gas",NULL,1,2020,1,1,0,1,0
3860,136900,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/5e67f840273171327200b3b0,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,78,"grejanje na gas",NULL,1,2020,1,1,0,1,0
13788,136000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/nova-detelinara/606e355a57c49978d4782ac5,prodaja,stanovi,"Novi Sad",Detelinara,4,96,"centralno grejanje",NULL,1,2020,1,1,0,0,0
