id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking,state
37509,165900.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/mirka-milojkovica/61bdaa35c64d834b3344d737,prodaja,stanovi,Beograd,Palilula opština,3.0,99.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
42457,165110.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-peka-dapcevica-okolina/5f353f43d27c105f6367f58a,prodaja,stanovi,Beograd,Voždovac opština,3.5,79.0,etažno grejanje,,1,2020,1,1,0.0,0,1,
7429,165000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/sumadijska/61b1df9bd8a4ad771b001098,prodaja,stanovi,Beograd,Zemun,2.5,70.0,centralno grejanje,,1,2020,1,1,0.0,1,0,
42865,165000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/kumodraska/607ef14b69dedc12590d8362,prodaja,stanovi,Beograd,Voždovac opština,3.0,78.0,etažno grejanje,,1,2020,1,1,0.0,0,0,
24718,164800.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novo-naselje/617c79c49fcf24349a5dcbc6,prodaja,stanovi,Novi Sad,Gradske lokacije,4.0,107.0,grejanje na gas,,1,2020,1,1,0.0,0,0,
45416,164000.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novo-naselje/5e5431f72731715f3171048d,prodaja,stanovi,Novi Sad,Gradske lokacije,4.0,95.0,grejanje na gas,,1,2020,0,0,0.0,0,0,
5714,163250.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/admirala-vukovica/61ca125ea447444d7d653a7b,prodaja,stanovi,Beograd,Voždovac opština,2.0,72.0,etažno grejanje,,1,2020,1,1,0.0,1,0,
44343,163000.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/salajka/5fd00f9ee5adb07b97097ad5,prodaja,stanovi,Novi Sad,Gradske lokacije,4.0,113.0,grejanje na gas,,1,2020,1,1,0.0,0,0,
42455,162800.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-hrvoja/5faecf9c81b0d47f8843282d,prodaja,stanovi,Beograd,Vračar,3.0,74.0,,,1,2020,1,0,0.0,0,0,
42462,162800.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/vojvode-hrvoja/5faecf9c81b0d47f8843282a,prodaja,stanovi,Beograd,Vračar,3.0,74.0,,,1,2020,1,0,0.0,0,0,
25416,162000.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/centar-novi-sad/5db379f22731713ecf564526,prodaja,stanovi,Novi Sad,Stari Grad,3.5,75.0,centralno grejanje,,2,2020,1,1,0.0,0,0,
25419,162000.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/centar-novi-sad/5db379f12731713ecf564524,prodaja,stanovi,Novi Sad,Stari Grad,3.5,75.0,centralno grejanje,,2,2020,1,1,0.0,0,0,
27097,159900.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/oblakovska/61b05172e341da2bcc06c288,prodaja,stanovi,Beograd,Voždovac opština,3.0,78.0,etažno grejanje,,1,2020,1,1,0.0,0,0,
47360,159300.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/socijalno/5fe9bd3ee8ca3975626b1e97,prodaja,stanovi,Novi Sad,Rotkvarija,4.0,79.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
40568,159000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dunavska/60476993300e68614d7856c3,prodaja,stanovi,Beograd,Stari Grad opština,1.0,46.0,centralno grejanje,,1,2020,1,0,0.0,1,0,
42112,154900.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/blok-63/5fabd8369fd527737e77925a,prodaja,stanovi,Beograd,Bežanijski Blokovi,2.5,71.0,centralno grejanje,,1,2020,1,1,0.0,0,1,
25618,154500.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/607564039e8082175845a1ec,prodaja,stanovi,Novi Sad,Gradske lokacije,3.0,80.0,centralno grejanje,,1,2020,1,1,0.0,1,0,
45131,154500.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-patrijarha-pavla-novi-sad/60ed89b7b632f13d3759fb04,prodaja,stanovi,Novi Sad,Telep,3.0,72.0,etažno grejanje,,1,2020,1,0,0.0,0,0,
44284,154300.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/sajmiste/619cb07bea9f6804f020f8a8,prodaja,stanovi,Novi Sad,Gradske lokacije,3.0,76.0,centralno grejanje,,1,2020,1,1,0.0,0,0,
44029,153550.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-evrope/6001a285e9baf92d4a1b4a46,prodaja,stanovi,Novi Sad,Gradske lokacije,4.0,99.0,grejanje na gas,,1,2020,1,0,0.0,0,0,
11168,150000.0,https://www.4zida.rs/prodaja/stanovi/kragujevac/oglas/centar/5f24e6f2d9349639f4677123,prodaja,stanovi,Kragujevac,Gradske lokacije,4.0,125.0,,,2,2020,1,1,0.0,0,0,
37880,150000.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/oblakovska/6092820c6c45857ccd2925c3,prodaja,stanovi,Beograd,Voždovac opština,1.5,49.0,etažno grejanje,,1,2020,1,1,0.0,0,0,
